,From,To,Taxonomy
2844,O61235,6239.Y54G11A.6,6239
2845,Q95RV2,7227.FBpp0083943,7227
2846,O74412,4896.SPCC1223.13.1,4896
2847,Q09LZ8,10090.ENSMUSP00000095533,10090
2848,P30658,10090.ENSMUSP00000026662,10090
2849,P23198,10090.ENSMUSP00000031862,10090
2850,P45973,9606.ENSP00000209875,9606
2851,Q8TBZ0,9606.ENSP00000306776,9606
2852,Q3SZX9,9913.ENSBTAP00000018801,9913
2853,Q86Z20,9606.ENSP00000379754,9606
2854,Q8IYE0,9606.ENSP00000285871,9606
2855,Q810N9,10090.ENSMUSP00000068972,10090
2856,Q6PDY0,10090.ENSMUSP00000137537,10090
2857,Q38819,3702.AT1G15570.1,3702
2858,Q868T3,7227.FBpp0293006,7227
2859,Q8IYE1,9606.ENSP00000309836,9606
2860,Q6ZN84,9606.ENSP00000415528,9606
2861,Q9JJ89,10090.ENSMUSP00000025639,10090
2862,O96020,9606.ENSP00000429089,9606
2863,O75909,9606.ENSP00000374529,9606
2864,Q9R1Q2,10116.ENSRNOP00000016016,10116
2865,P32246,9606.ENSP00000296140,9606
2866,P51683,10090.ENSMUSP00000132453,10090
2867,O04034,3702.AT1G08960.1,3702
2868,Q504U0,9606.ENSP00000368503,9606
2869,Q62834,10116.ENSRNOP00000024016,10116
2870,Q05791,4932.YLR215C,4932
2871,Q9S7H3,3702.AT5G27080.1,3702
2872,P36618,4896.SPAC6F6.08c.1,4896
2873,Q9SZA4,3702.AT4G33270.1,3702
2874,P14724,4932.YFR036W,4932
2875,Q8W1E3,3702.AT5G62430.1,3702
2876,Q9XIP8,3702.AT1G64980.1,3702
2877,P38770,4932.YHR036W,4932
2878,Q6EVK6,3702.AT2G46020.2,3702
2879,Q9C928,3702.AT1G52930.1,3702
2880,Q08235,4932.YOL077C,4932
2881,Q944A7,3702.AT4G35230.1,3702
2882,Q9FIL1,3702.AT5G59010.1,3702
2883,Q9FHD7,3702.AT5G41260.1,3702
2884,Q9SHS7,3702.AT2G27210.1,3702
2885,Q9LR78,3702.AT1G03445.1,3702
2886,O42860,4896.SPAC23H3.08c.1,4896
2887,Q04347,4932.YMR014W,4932
2888,P10506,4896.SPAC1D4.13.1,4896
2889,O65683,3702.AT4G34590.1,3702
2890,Q6Z312,4530.OS02T0766700-01,4530
2891,Q9SG86,3702.AT3G10800.1,3702
2892,B9DGI8,3702.AT5G28770.2,3702
2893,Q99622,9606.ENSP00000229281,9606
2894,Q8NCU7,9606.ENSP00000347712,9606
2895,Q8IYL3,9606.ENSP00000355306,9606
2896,Q9SHH0,3702.AT1G17120.1,3702
2897,O88480,10116.ENSRNOP00000001659,10116
2898,P0DH97,3702.AT2G27030.3,3702
2899,P14315,9031.ENSGALP00000006415,9031
2900,Q9NXV6,9606.ENSP00000427108,9606
2901,A6NHX0,9606.ENSP00000484732,9606
2902,M0RAU5,10116.ENSRNOP00000066656,10116
2903,Q6ZN30,9606.ENSP00000370047,9606
2904,Q924M5,10090.ENSMUSP00000084868,10090
2905,Q14137,9606.ENSP00000455106,9606
2906,Q9VNP5,7227.FBpp0078210,7227
2907,Q9M8J9,3702.AT3G06190.1,3702
2908,Q8RXD4,3702.AT4G21070.1,3702
2909,D4A7T3,10116.ENSRNOP00000058256,10116
2910,Q8WZJ7,4896.SPBC839.16.1,4896
2911,Q6P1N0,9606.ENSP00000313601,9606
2912,Q8BRN9,10090.ENSMUSP00000030320,10090
2913,P33076,9606.ENSP00000485010,9606
2914,Q9H425,9606.ENSP00000355623,9606
2915,O64759,3702.AT2G34960.1,3702
2916,P57796,9606.ENSP00000324960,9606
2917,Q9BXU9,9606.ENSP00000378690,9606
2918,O00555,9606.ENSP00000353362,9606
2919,Q9EQ60,10116.ENSRNOP00000042239,10116
2920,P09085,7227.FBpp0080942,7227
2921,P12962,4932.YOR276W,4932
2922,O14008,4896.SPAC29A4.05.1,4896
2923,A0A1D8PPI5,5476.P43059,5476
2924,O35646,10090.ENSMUSP00000084573,10090
2925,G5EDN6,6239.F55C10.1a,6239
2926,Q9P3A8,4896.SPAC1565.07c.1,4896
2927,P34122,44689.DDB0185023,44689
2928,P48445,4932.YDL141W,4932
2929,Q9SRV1,3702.AT3G03740.1,3702
2930,Q8LFS6,3702.AT4G03110.1,3702
2931,Q9XWH0,6239.Y54G9A.6,6239
2932,O36018,4896.SPAC4F10.06.1,4896
2933,P53226,4932.YGR041W,4932
2934,P48524,4932.YMR275C,4932
2935,Q9Y7V2,4896.SPCC645.13.1,4896
2936,Q0JHF1,4530.OS01T0867300-01,4530
2937,Q8VY76,3702.AT4G35040.1,3702
2938,Q9M2K4,3702.AT3G58120.1,3702
2939,P38822,4932.YHR114W,4932
2940,O35473,10090.ENSMUSP00000000594,10090
2941,Q9VKJ9,7227.FBpp0297275,7227
2942,Q93ZS9,3702.AT3G55980.1,3702
2943,Q9P296,9606.ENSP00000472620,9606
2944,P36076,4932.YKL088W,4932
2945,O88751,10116.ENSRNOP00000001551,10116
2946,Q86V35,9606.ENSP00000216144,9606
2947,Q9ZT82,3702.AT4G03550.1,3702
2948,Q5BAH2,162425.CADANIAP00009174,162425
2949,G5ED41,6239.Y102A5A.1,6239
2950,Q9P7F2,4896.SPAC2E1P3.04.1,4896
2951,P38278,4932.YBR141C,4932
2952,O94480,4896.SPCC1919.13c.1,4896
2953,Q8BMQ3,10090.ENSMUSP00000135375,10090
2954,O82286,3702.AT2G35550.1,3702
2955,Q7LKZ7,4896.SPBC28E12.06c.1,4896
2956,Q07998,7955.ENSDARP00000005351,7955
2957,O15178,9606.ENSP00000296946,9606
2958,G5EG86,6239.T07E3.5,6239
2959,Q9W157,7227.FBpp0072209,7227
2960,Q7JJ13,10090.ENSMUSP00000109880,10090
2961,Q8K2F0,10090.ENSMUSP00000028282,10090
2962,Q91Y44,10090.ENSMUSP00000031215,10090
2963,O75150,9606.ENSP00000325677,9606
2964,Q59LY1,5476.C4YEC7,5476
2965,Q9BSF8,9606.ENSP00000431186,9606
2966,Q8LPQ5,3702.AT3G18290.1,3702
2967,Q03758,4932.YML111W,4932
2968,Q05949,4932.YLR226W,4932
2969,Q501B2,3702.AT2G35530.1,3702
2970,Q69TW5,4530.OS06T0211200-01,4530
2971,Q84LG2,3702.AT1G32150.1,3702
2972,Q8CFW7,10090.ENSMUSP00000048320,10090
2973,Q9FWS3,3702.AT1G75340.1,3702
2974,Q9SIV5,3702.AT2G16485.1,3702
2975,Q941Q3,3702.AT3G12680.1,3702
2976,Q13936,9606.ENSP00000266376,9606
2977,O95180,9606.ENSP00000334198,9606
2978,P07293,9986.ENSOCUP00000003147,9986
2979,P54657,44689.DDB0191175,44689
2980,P05933,4896.SPAC3A12.14.1,4896
2981,P06787,4932.YBR109C,4932
2982,Q5T5Y3,9606.ENSP00000374183,9606
2983,Q93560,6239.F25D7.3a,6239
2984,P54132,9606.ENSP00000347232,9606
2985,Q9EPW1,10116.ENSRNOP00000042830,10116
2986,Q810B3,10090.ENSMUSP00000068057,10090
2987,Q9LS26,3702.AT5G46570.1,3702
2988,B9FDE0,4530.OS04T0684200-01,4530
2989,Q80X66,10090.ENSMUSP00000048530,10090
2990,P23293,4932.YPR161C,4932
2991,Q9LZP8,3702.AT3G62420.1,3702
2992,P30992,9612.ENSCAFP00000039091,9612
2993,Q9NP86,9606.ENSP00000293255,9606
2994,Q8VGC3,10116.ENSRNOP00000037354,10116
2995,Q03017,7227.FBpp0080402,7227
2996,Q9SN74,3702.AT3G47640.2,3702
2997,Q9FXA3,3702.AT1G49770.1,3702
2998,Q9FLU1,3702.AT5G24630.6,3702
2999,P48754,10090.ENSMUSP00000017290,10090
3000,O88665,10090.ENSMUSP00000034085,10090
3001,Q1MTQ0,4896.SPCC1919.15.1,4896
3002,Q7XJT7,3702.AT2G17090.1,3702
3003,Q8W4L3,3702.AT4G00710.1,3702
3004,Q6EJ98,3702.AT4G37610.1,3702
3005,Q5XKL5,9606.ENSP00000343686,9606
3006,Q9W2S3,7227.FBpp0071426,7227
3007,Q9LZ82,3702.AT5G04430.2,3702
3008,A6NLJ0,9606.ENSP00000369755,9606
3009,Q9ZWA1,3702.AT1G03790.1,3702
3010,Q9WUF3,10090.ENSMUSP00000029950,10090
3011,O80683,3702.AT2G41010.1,3702
3012,Q9SIH4,3702.AT2G36100.1,3702
3013,Q7M3M8,7227.FBpp0078374,7227
3014,Q8WUQ7,9606.ENSP00000415078,9606
3015,Q7XHR2,4530.OS07T0490200-01,4530
3016,Q14781,9606.ENSP00000308750,9606
3017,O00257,9606.ENSP00000269397,9606
3018,Q9BWC9,9606.ENSP00000465757,9606
3019,Q8IYX3,9606.ENSP00000292779,9606
3020,Q96CT7,9606.ENSP00000471455,9606
3021,Q10653,6239.ZC168.4.2,6239
3022,Q9I7I0,7227.FBpp0084103,7227
3023,P25322,10090.ENSMUSP00000091495,10090
3024,Q13319,9606.ENSP00000304250,9606
3025,P01129,4896.SPBC336.12c.1,4896
3026,P36589,4896.SPBC24C6.07.1,4896
3027,Q4PSE4,3702.AT5G26900.1,3702
3028,Q16543,9606.ENSP00000222005,9606
3029,O74113,4896.SPAC17D4.02.1,4896
3030,Q8IZL9,9606.ENSP00000322343,9606
3031,P42772,9606.ENSP00000276925,9606
3032,Q9P2H0,9606.ENSP00000263468,9606
3033,O94986,9606.ENSP00000370337,9606
3034,Q4KLH6,10116.ENSRNOP00000014165,10116
3035,Q5DU05,10090.ENSMUSP00000114053,10090
3036,Q6A065,10090.ENSMUSP00000059562,10090
3037,P49715,9606.ENSP00000427514,9606
3038,P39964,4896.SPAC644.12.1,4896
3039,Q8AYS7,9031.ENSGALP00000008063,9031
3040,P87227,4896.SPAC1687.20c.1,4896
3041,O74740,4896.SPBC1709.15c.1,4896
3042,Q12102,4932.YLR115W,4932
3043,Q9UFW8,9606.ENSP00000381429,9606
3044,P36613,4896.SPBP16F5.02.1,4896
3045,P53188,4932.YGL029W,4932
3046,Q3UPP8,10090.ENSMUSP00000091306,10090
3047,Q9P209,9606.ENSP00000264935,9606
3048,A8IRK7,3055.EDP04324,3055
3049,Q06632,4932.YDR301W,4932
3050,Q9HEQ8,746128.CADAFUBP00008161,746128
3051,P22516,4932.YPL008W,4932
3052,Q9VQ30,7227.FBpp0297890,7227
3053,Q9SIW2,3702.AT2G16390.1,3702
3054,G5ECD6,6239.T25G3.2.1,6239
3055,Q9Y3Y2,9606.ENSP00000357679,9606
3056,O13833,4896.SPAC19D5.03.1,4896
3057,O42923,4896.SPBC16A3.18.1,4896
3058,Q8R0W1,10090.ENSMUSP00000141049,10090
3059,Q84VQ3,3702.AT5G21326.1,3702
3060,Q91V08,10090.ENSMUSP00000032260,10090
3061,Q9BXN2,9606.ENSP00000302569,9606
3062,P35525,10116.ENSRNOP00000066524,10116
3063,O60060,4896.SPBC56F2.09c.1,4896
3064,Q9ZQI2,3702.AT2G27370.1,3702
3065,P06115,4932.YGR088W,4932
3066,P51638,10116.ENSRNOP00000007601,10116
3067,Q5U5Z8,9606.ENSP00000435582,9606
3068,Q8CDP0,10090.ENSMUSP00000110669,10090
3069,Q8VDS3,10090.ENSMUSP00000105245,10090
3070,Q9QXV1,10090.ENSMUSP00000026663,10090
3071,Q9VKV5,7227.FBpp0079616,7227
3072,Q9SCN8,3702.AT3G53230.1,3702
3073,O74435,4896.SPCC1682.04.1,4896
3074,Q9N5U5,6239.F35F11.1,6239
3075,Q9LSE1,3702.AT3G26940.1,3702
3076,Q15131,9606.ENSP00000338673,9606
3077,Q38868,3702.AT3G20410.1,3702
3078,Q0D715,4530.OS07T0409900-01,4530
3079,P40382,4896.SPBC428.18.1,4896
3080,P05554,10116.ENSRNOP00000063123,10116
3081,Q15744,9606.ENSP00000206513,9606
3082,Q9USR9,4896.SPBC1861.01c.1,4896
3083,Q6IPU0,9606.ENSP00000364737,9606
3084,Q6CJY0,28985.XP_455759.1,28985
3085,P53298,4932.YGR179C,4932
3086,P38313,4932.YBR211C,4932
3087,Q12453,4932.YOR112W,4932
3088,D4P3R7,3055.EDP08468,3055
3089,Q08032,4932.YLR103C,4932
3090,Q9VP22,7227.FBpp0078013,7227
3091,Q02637,7227.FBpp0072179,7227
3092,Q8STE5,6239.Y106G6E.5.1,6239
3093,O17386,6239.F08F1.5,6239
3094,P49450,9606.ENSP00000336868,9606
3095,P07199,9606.ENSP00000369075,9606
3096,Q03188,9606.ENSP00000273853,9606
3097,P38907,4932.YDR254W,4932
3098,Q02732,4932.YPL018W,4932
3099,A8MT69,9606.ENSP00000376168,9606
3100,Q9C0F1,9606.ENSP00000389427,9606
3101,P0CB05,9031.ENSGALP00000010701,9031
3102,Q96MT8,9606.ENSP00000336524,9606
3103,Q8IW35,9606.ENSP00000342510,9606
3104,Q9SWW6,3702.AT5G17420.1,3702
3105,Q9UEE9,9606.ENSP00000283882,9606
3106,O02326,6239.T23D8.8,6239
3107,Q8WUX2,9606.ENSP00000295304,9606
3108,A2A8L1,10090.ENSMUSP00000030775,10090
3109,Q8TD26,9606.ENSP00000362330,9606
3110,O61661,7227.FBpp0080441,7227
3111,Q8WTT0,9606.ENSP00000440428,9606
3112,Q9R007,10090.ENSMUSP00000121848,10090
3113,Q6P1J9,9606.ENSP00000356405,9606
3114,Q3MJK5,10116.ENSRNOP00000008256,10116
3115,Q14004,9606.ENSP00000181839,9606
3116,Q9C9U2,3702.AT1G73690.1,3702
3117,Q9LMT0,3702.AT1G18040.1,3702
3118,Q38873,3702.AT5G12480.1,3702
3119,Q8W4I7,3702.AT3G51850.1,3702
3120,Q9ZSA2,3702.AT4G04720.1,3702
3121,Q9FKW4,3702.AT5G66210.1,3702
3122,Q5ANA3,5476.C4YNQ4,5476
3123,Q10990,4896.SPAC17H9.19c.1,4896
3124,Q9D5D8,10090.ENSMUSP00000104730,10090
3125,Q6ZU80,9606.ENSP00000451162,9606
3126,Q5SW79,9606.ENSP00000355500,9606
3127,Q9C0D2,9606.ENSP00000316681,9606
3128,P34618,6239.ZK1236.2,6239
3129,Q06675,4932.YDR318W,4932
3130,Q8N2Z9,9606.ENSP00000308583,9606
3131,P43618,4932.YFR046C,4932
3132,Q96LK0,9606.ENSP00000387209,9606
3133,Q8CEE0,10090.ENSMUSP00000034398,10090
3134,Q9SVM9,3702.AT4G13840.1,3702
3135,Q8K4K1,10090.ENSMUSP00000100020,10090
3136,Q23H79,5911.EAR95929,5911
3137,Q8C6L5,10090.ENSMUSP00000063331,10090
3138,B6ZLK2,9031.ENSGALP00000023555,9031
3139,Q9WUD1,10090.ENSMUSP00000040431,10090
3140,Q9N3Z3,6239.Y39H10A.7a.2,6239
3141,Q9UQN3,9606.ENSP00000263780,9606
3142,Q9ZUL5,3702.AT2G02090.1,3702
3143,Q9LU68,3702.AT5G57180.2,3702
3144,Q93VD3,3702.AT1G30270.1,3702
3145,Q9DA19,10090.ENSMUSP00000049834,10090
3146,P83916,9606.ENSP00000377060,9606
3147,O95931,9606.ENSP00000216133,9606
3148,Q9HC52,9606.ENSP00000269385,9606
3149,A5D8V7,9606.ENSP00000348757,9606
3150,Q6PII3,9606.ENSP00000373304,9606
3151,Q8IX12,9606.ENSP00000265872,9606
3152,Q53HC0,9606.ENSP00000238156,9606
3153,Q8K2Y9,10090.ENSMUSP00000000388,10090
3154,Q8WWL7,9606.ENSP00000365210,9606
3155,Q9UK58,9606.ENSP00000295926,9606
3156,O60563,9606.ENSP00000261900,9606
3157,P41597,9606.ENSP00000292301,9606
3158,P51681,9606.ENSP00000292303,9606
3159,Q10059,4896.SPAC1F5.04c.1,4896
3160,P09798,4932.YKL022C,4932
3161,Q12834,9606.ENSP00000361540,9606
3162,P06101,4932.YDR168W,4932
3163,P92948,3702.AT1G09770.1,3702
3164,Q06697,4932.YLR418C,4932
3165,Q95QW4,6239.C15B12.7b,6239
3166,P04551,4896.SPBC11B10.09.1,4896
3167,Q9VT57,7227.FBpp0076098,7227
3168,P29620,4530.OS05T0392300-01,4530
3169,Q9FGW5,3702.AT5G63370.1,3702
3170,O76039,9606.ENSP00000369325,9606
3171,Q42438,3702.AT5G19450.2,3702
3172,Q53P85,4530.OS11T0171500-01,4530
3173,Q9UPV0,9606.ENSP00000278935,9606
3174,Q8TEP8,9606.ENSP00000427550,9606
3175,P28033,10090.ENSMUSP00000069850,10090
3176,O76337,6239.F56D2.7,6239
3177,Q6XXM1,9031.ENSGALP00000042200,9031
3178,Q9HC77,9606.ENSP00000371308,9606
3179,Q1T763,9031.ENSGALP00000017885,9031
3180,Q2Z1W2,9031.ENSGALP00000031579,9031
3181,Q27294,7227.FBpp0073996,7227
3182,Q9DBY5,10090.ENSMUSP00000105255,10090
3183,Q9BUN5,9606.ENSP00000413017,9606
3184,Q0D9C7,4530.OS06T0726800-01,4530
3185,Q49A88,9606.ENSP00000420180,9606
3186,P51945,10090.ENSMUSP00000020576,10090
3187,Q8ND76,9606.ENSP00000363836,9606
3188,O14618,9606.ENSP00000436318,9606
3189,P26309,4932.YGL116W,4932
3190,Q00534,9606.ENSP00000265734,9606
3191,Q16667,9606.ENSP00000335357,9606
3192,Q86WJ1,9606.ENSP00000358262,9606
3193,Q9HCK8,9606.ENSP00000382863,9606
3194,Q99J95,10090.ENSMUSP00000009699,10090
3195,P39689,10090.ENSMUSP00000023829,10090
3196,Q8R4E9,10090.ENSMUSP00000006760,10090
3197,Q7TSG1,10090.ENSMUSP00000062433,10090
3198,P53566,10090.ENSMUSP00000096129,10090
3199,Q9Y812,4896.SPBC1105.17.1,4896
3200,Q90ZF9,9031.ENSGALP00000032226,9031
3201,Q9QYM8,10090.ENSMUSP00000074988,10090
3202,Q7L2Z9,9606.ENSP00000337289,9606
3203,E1BSW7,9031.ENSGALP00000040599,9031
3204,O74807,4896.SPBC2D10.16.1,4896
3205,Q96BT3,9606.ENSP00000457810,9606
3206,Q5JTW2,9606.ENSP00000365782,9606
3207,Q94JQ6,3702.AT5G64740.1,3702
3208,Q12798,9606.ENSP00000319052,9606
3209,Q9R1K9,10090.ENSMUSP00000110198,10090
3210,Q8N1V2,9606.ENSP00000339449,9606
3211,A8IF44,3055.EDP06195,3055
3212,Q8N865,9606.ENSP00000386604,9606
3213,Q8N884,9606.ENSP00000359339,9606
3214,Q96NL8,9606.ENSP00000286688,9606
3215,Q7KU24,7227.FBpp0297122,7227
3216,Q9P2D1,9606.ENSP00000392028,9606
3217,Q9JIX5,10116.ENSRNOP00000022593,10116
3218,O94614,4896.SPBC1289.01c.1,4896
3219,P40019,4932.YER030W,4932
3220,Q2M329,9606.ENSP00000309285,9606
3221,P25008,7227.FBpp0082469,7227
3222,P0C242,10090.ENSMUSP00000040083,10090
3223,Q3E906,3702.AT5G27570.1,3702
3224,Q8LGU6,3702.AT2G20000.1,3702
3225,Q13042,9606.ENSP00000353549,9606
3226,Q9S7I8,3702.AT4G33260.1,3702
3227,P07834,4932.YFL009W,4932
3228,Q9LJ87,3702.AT3G22590.1,3702
3229,Q9TVL3,6239.H25P06.2b,6239
3230,Q20646,6239.F52B5.5a.2,6239
3231,Q76N32,9606.ENSP00000367229,9606
3232,Q8NHQ1,9606.ENSP00000264982,9606
3233,Q9Y592,9606.ENSP00000380911,9606
3234,Q96GE4,9606.ENSP00000450461,9606
3235,E9PZM4,10090.ENSMUSP00000126352,10090
3236,Q8TDI0,9606.ENSP00000262450,9606
3237,D3ZD32,10116.ENSRNOP00000024732,10116
3238,Q09XV5,10090.ENSMUSP00000087184,10090
3239,Q93833,6239.F59C6.7a,6239
3240,Q9DB34,10090.ENSMUSP00000005711,10090
3241,Q6PK04,9606.ENSP00000329360,9606
3242,Q9Y7U9,4896.SPCC645.10.1,4896
3243,P30183,3702.AT4G37490.1,3702
3244,Q810U5,10090.ENSMUSP00000097604,10090
3245,Q9H0W5,9606.ENSP00000303158,9606
3246,Q9JJV4,10090.ENSMUSP00000021066,10090
3247,Q52KE7,10090.ENSMUSP00000029416,10090
3248,Q96S94,9606.ENSP00000383611,9606
3249,Q6K9A2,4530.OS02T0808800-01,4530
3250,O54689,10090.ENSMUSP00000095029,10090
3251,O00421,9606.ENSP00000349967,9606
3252,Q6P3G4,7955.ENSDARP00000058627,7955
3253,P11836,9606.ENSP00000314620,9606
3254,Q7L3B6,9606.ENSP00000371278,9606
3255,P60953,9606.ENSP00000383118,9606
3256,Q69YH5,9606.ENSP00000328228,9606
3257,Q9BXL8,9606.ENSP00000337226,9606
3258,P39951,10116.ENSRNOP00000000783,10116
3259,P53684,4530.OS03T0128700-01,4530
3260,Q6NLQ6,3702.AT3G57530.1,3702
3261,Q9H211,9606.ENSP00000301019,9606
3262,Q8CFP6,10090.ENSMUSP00000020986,10090
3263,Q39009,3702.AT3G22880.1,3702
3264,Q8BG36,10090.ENSMUSP00000059654,10090
3265,Q9LFE0,3702.AT5G16780.1,3702
3266,Q9CQS7,10090.ENSMUSP00000071881,10090
3267,P47027,4932.YJL090C,4932
3268,P87174,4896.SPBC3D6.09.1,4896
3269,Q9NY33,9606.ENSP00000353701,9606
3270,Q8CCG4,10090.ENSMUSP00000093749,10090
3271,Q5VJS5,10116.ENSRNOP00000029714,10116
3272,B9EJR8,10090.ENSMUSP00000026975,10090
3273,O54784,10090.ENSMUSP00000137333,10090
3274,Q9M086,3702.AT4G31160.1,3702
3275,Q99J79,10090.ENSMUSP00000028696,10090
3276,Q9NR30,9606.ENSP00000346120,9606
3277,Q96GQ7,9606.ENSP00000483495,9606
3278,Q9H0S4,9606.ENSP00000350698,9606
3279,Q5TB30,9606.ENSP00000412292,9606
3280,O08560,10116.ENSRNOP00000024280,10116
3281,Q9VKD6,7227.FBpp0079869,7227
3282,P39517,4932.YDL160C,4932
3283,Q21773,6239.R06C7.3.1,6239
3284,Q99J87,10090.ENSMUSP00000017974,10090
3285,O04259,3702.AT4G02200.3,3702
3286,Q9ZVT1,3702.AT1G03300.1,3702
3287,Q0WNB1,3702.AT2G47220.1,3702
3288,Q9P6I2,4896.SPBC1198.08.1,4896
3289,A0A178VEK7,3702.AT3G60460.1,3702
3290,O75319,9606.ENSP00000272444,9606
3291,Q06349,4932.YDR370C,4932
3292,O77932,9606.ENSP00000364498,9606
3293,Q9FGN8,3702.AT5G51330.1,3702
3294,Q9JJ79,10116.ENSRNOP00000043252,10116
3295,Q78P75,10116.ENSRNOP00000012279,10116
3296,P39053,10090.ENSMUSP00000088618,10090
3297,Q63470,10116.ENSRNOP00000042446,10116
3298,P39995,4932.YEL018W,4932
3299,G5EBR8,6239.F53B2.3,6239
3300,P53080,4932.YGL222C,4932
3301,P02994,4932.YPR080W,4932
3302,Q3E705,4932.YGR271C-A,4932
3303,P53970,4932.YNL024C,4932
3304,Q8BG67,10090.ENSMUSP00000015146,10090
3305,Q04089,4932.YDR440W,4932
3306,Q12429,4932.YLR143W,4932
3307,Q86TI2,9606.ENSP00000262960,9606
3308,Q9H410,9606.ENSP00000389810,9606
3309,Q9SIA5,3702.AT2G04040.1,3702
3310,O81039,3702.AT2G46840.1,3702
3311,Q7XBS0,4530.OS10T0580400-01,4530
3312,Q61214,10090.ENSMUSP00000113660,10090
3313,Q9V3D5,7227.FBpp0088344,7227
3314,Q86Y13,9606.ENSP00000355028,9606
3315,Q9Z2R9,10090.ENSMUSP00000098056,10090
3316,Q01094,9606.ENSP00000345571,9606
3317,A0AVK6,9606.ENSP00000481103,9606
3318,O42924,4896.SPBC16A3.19.1,4896
3319,O59773,4896.SPCC1795.08c.1,4896
3320,Q96327,3702.AT3G51800.2,3702
3321,Q99848,9606.ENSP00000407323,9606
3322,C6Y4C5,4896.SPBP35G2.16c.1,4896
3323,Q9VVI2,7227.FBpp0074970,7227
3324,O94752,4896.SPBC18E5.11c.1,4896
3325,Q9VKK1,7227.FBpp0079818,7227
3326,O80588,3702.AT2G44190.1,3702
3327,P34216,4932.YBL047C,4932
3328,O04492,3702.AT1G09700.1,3702
3329,O82132,3702.AT5G05410.1,3702
3330,Q84ZA1,4530.OS08T0565200-01,4530
3331,Q9M9Y4,3702.AT1G06770.1,3702
3332,Q10SU5,4530.OS03T0110800-01,4530
3333,Q6FJH4,5478.XP_449620.1,5478
3334,Q23985,7227.FBpp0070876,7227
3335,P53871,4932.YNL191W,4932
3336,Q9UTH9,4896.SPAC16.04.1,4896
3337,O14641,9606.ENSP00000005340,9606
3338,Q27268,7227.FBpp0078754,7227
3339,P36022,4932.YKR054C,4932
3340,Q24246,7227.FBpp0088428,7227
3341,Q8IYY4,9606.ENSP00000332148,9606
3342,P38732,4932.YHL039W,4932
3343,P47163,4932.YJR129C,4932
3344,P53200,4932.YGR001C,4932
3345,O01767,6239.T21E3.1,6239
3346,Q61880,10090.ENSMUSP00000023065,10090
3347,P25453,4932.YER179W,4932
3348,P83758,7955.ENSDARP00000051145,7955
3349,Q9XHH2,3055.EDP06769,3055
3350,Q8INR6,7227.FBpp0292801,7227
3351,Q8N608,9606.ENSP00000376855,9606
3352,Q9CWH0,10090.ENSMUSP00000110183,10090
3353,Q90635,9031.ENSGALP00000030864,9031
3354,O74731,4896.SPBC1709.06.1,4896
3355,P51452,9606.ENSP00000226004,9606
3356,Q64346,10116.ENSRNOP00000032969,10116
3357,Q6NPN9,3702.AT1G76260.1,3702
3358,Q8WXX0,9606.ENSP00000311273,9606
3359,Q9SMH5,3055.EDP08405,3055
3360,Q05193,9606.ENSP00000362014,9606
3361,Q19087,6239.F01F1.9,6239
3362,B2RY04,10090.ENSMUSP00000036674,10090
3363,Q8C147,10090.ENSMUSP00000025831,10090
3364,Q9VNA8,7227.FBpp0078445,7227
3365,Q10315,4896.SPAC17G8.03c.1,4896
3366,P27344,4932.YBR278W,4932
3367,P40487,4932.YIL103W,4932
3368,P32469,4932.YLR172C,4932
3369,P28340,9606.ENSP00000406046,9606
3370,P49005,9606.ENSP00000480186,9606
3371,P42658,9606.ENSP00000367001,9606
3372,Q9VKQ9,7227.FBpp0079701,7227
3373,A8IVX2,3055.EDP03601,3055
3374,V6CIV8,6239.C05B10.1,6239
3375,O22897,3702.AT2G47230.2,3702
3376,Q68J44,9606.ENSP00000340609,9606
3377,Q9JIM4,10116.ENSRNOP00000004179,10116
3378,Q13115,9606.ENSP00000240100,9606
3379,Q16828,9606.ENSP00000279488,9606
3380,P53063,4932.YGL246C,4932
3381,Q9P2D7,9606.ENSP00000401514,9606
3382,O13290,4896.SPAC1093.06c.1,4896
3383,Q24117,7227.FBpp0070672,7227
3384,Q08877,10116.ENSRNOP00000063767,10116
3385,Q13627,9606.ENSP00000381932,9606
3386,Q96AV8,9606.ENSP00000323246,9606
3387,Q58FA4,10090.ENSMUSP00000056778,10090
3388,Q9LFQ9,3702.AT5G14960.1,3702
3389,O35544,10090.ENSMUSP00000005490,10090
3390,F4J7T2,3702.AT3G24870.1,3702
3391,Q96JC9,9606.ENSP00000380054,9606
3392,P36049,4932.YKL172W,4932
3393,F4JL28,3702.AT4G22140.1,3702
3394,Q96F86,9606.ENSP00000320503,9606
3395,F4K3G5,3702.AT5G55390.1,3702
3396,Q8GWE6,3702.AT2G19560.1,3702
3397,Q9USU1,4896.SPBC336.03.1,4896
3398,Q09748,4896.SPBC12C2.08.1,4896
3399,P26358,9606.ENSP00000352516,9606
3400,O43598,9606.ENSP00000230431,9606
3401,Q9NYP3,9606.ENSP00000307143,9606
3402,Q8RXD9,3702.AT2G40840.1,3702
3403,Q75QN6,3702.AT5G23720.1,3702
3404,P15436,4932.YDL102W,4932
3405,O18475,7227.FBpp0082131,7227
3406,O75417,9606.ENSP00000264233,9606
3407,Q6NXK7,10090.ENSMUSP00000108225,10090
3408,Q9Z218,10090.ENSMUSP00000113441,10090
3409,Q9GRZ3,6239.Y59A8B.1a,6239
3410,Q8H1D4,3702.AT3G62800.1,3702
