CS,Type,Org,Fold,ID,Seqlen
36.0,3,1,0,Q8LAD2,341
15.0,3,0,0,P36967,315
15.0,2,0,2,O60844,167
46.0,3,0,3,P42844,174
19.0,2,0,0,Q62005,623
23.0,2,0,1,O54767,695
31.0,2,0,4,Q60736,579
20.0,2,0,3,Q59Y31,533
20.0,2,0,3,O00300,401
19.0,2,0,3,P01223,138
19.0,2,0,1,P54837,211
14.0,3,0,3,Q9NVH6,421
28.0,2,0,3,O95407,300
18.0,2,0,2,P19134,695
18.0,2,0,2,P14632,704
15.0,2,0,3,Q02942,726
20.0,2,0,3,Q26643,629
30.0,2,0,1,P49755,219
25.0,2,0,4,Q86YD3,366
21.0,2,0,0,P32802,667
22.0,2,0,4,P20334,256
17.0,2,0,2,P07204,575
18.0,2,0,2,P02787,698
36.0,3,1,4,Q39243,375
76.0,4,1,2,P09856,190
21.0,2,0,4,P24821,2201
32.0,2,0,0,P36897,503
21.0,2,0,1,P37173,567
37.0,3,0,1,Q874C1,540
25.0,2,0,0,P16035,220
22.0,2,0,3,O15455,904
24.0,2,0,3,Q9Y5U5,241
28.0,2,0,4,P19438,455
16.0,2,0,4,P00760,246
19.0,2,0,3,P01224,138
17.0,2,0,0,P35441,1170
23.0,2,0,0,P31779,153
18.0,2,0,0,B7ZS96,153
19.0,2,0,4,G5ED35,135
18.0,2,0,0,C0HL38,60
26.0,2,0,1,Q9P2K2,825
16.0,2,0,2,O46168,68
22.0,2,0,0,I6RU32,74
37.0,2,0,3,Q92956,283
17.0,2,0,3,Q9BX59,468
18.0,2,0,2,P12346,698
18.0,2,0,2,P24627,708
18.0,2,0,2,P02788,710
28.0,2,0,4,Q9NS68,423
21.0,2,0,3,P20333,461
54.0,2,0,0,Q9UBN6,386
28.0,2,0,3,Q4V645,108
24.0,2,0,0,O14798,259
24.0,2,0,1,Q969Z4,430
33.0,3,0,2,Q9JLT4,524
29.0,3,0,0,P17764,424
58.0,3,0,4,Q99757,166
21.0,2,0,1,Q6T6C2,97
17.0,2,1,0,P01545,127
18.0,2,0,2,P01830,161
17.0,2,0,3,Q9VMD9,2188
26.0,2,0,0,Q9U8W7,316
25.0,2,0,3,Q2PGV8,361
35.0,2,0,4,Q9HGE1,227
26.0,2,0,2,W0HJ53,216
20.0,2,0,1,Q8NJ73,380
19.0,2,1,2,Q41638,292
26.0,2,1,0,Q9S7Y7,915
26.0,2,0,2,P33557,211
24.0,2,0,3,P33559,327
20.0,2,0,3,P07529,332
38.0,2,0,4,Q8J0K5,282
26.0,2,1,3,Q53NL5,290
21.0,2,0,0,Q99MA2,674
33.0,3,1,2,O80543,355
20.0,2,0,1,P11684,91
18.0,2,0,2,P19425,97
31.0,2,0,1,Q9H7M9,311
14.0,2,0,1,P19011,71
17.0,2,0,2,Q6RG02,2586
23.0,2,0,2,P19320,739
21.0,2,0,3,I2C090,1641
41.0,2,0,3,Q9JLA3,1551
24.0,2,0,4,Q9BZM5,246
13.0,3,1,3,Q9ZUX4,113
20.0,2,0,4,P81828,101
21.0,2,0,0,Q03405,335
20.0,2,0,1,P02779,91
24.0,2,0,1,P21814,429
19.0,2,0,0,O55245,150
19.0,2,0,0,P49141,149
19.0,2,0,0,O46654,147
12.0,3,0,1,P32089,311
23.0,2,0,4,P67861,144
22.0,2,0,1,P08541,530
22.0,2,0,1,P36511,530
21.0,2,0,3,Q09332,1548
17.0,2,0,2,P38574,287
21.0,2,0,1,P0C293,80
20.0,2,0,4,P58912,488
21.0,2,0,1,Q4LCS8,82
21.0,2,0,0,I6S390,76
50.0,4,1,3,P08980,230
77.0,3,0,4,P13272,274
17.0,2,0,0,Q09140,1448
30.0,2,0,1,P49767,419
25.0,2,0,2,P17948,1338
23.0,2,0,2,P35916,1363
19.0,2,0,3,P00749,431
19.0,2,0,2,P84843,76
124.0,5,1,4,Q40251,473
123.0,5,1,0,Q9SM43,472
20.0,2,0,4,P81827,101
18.0,2,0,0,P35775,138
77.0,4,1,2,Q8L9X2,203
33.0,3,0,1,P31930,480
29.0,2,0,4,P0C8G7,286
31.0,2,0,0,Q6IUU3,750
21.0,2,0,3,P04925,254
22.0,2,0,4,P69130,211
76.0,4,1,3,P13192,235
82.0,5,1,2,Q41387,137
19.0,2,0,4,O43653,114
20.0,2,0,4,P35496,137
17.0,2,0,1,Q01682,463
21.0,2,0,0,P29288,327
21.0,2,0,3,Q12546,614
21.0,2,0,1,P05187,535
19.0,2,0,1,P15693,540
16.0,2,0,1,P09487,524
16.0,2,0,1,P08289,524
70.0,5,1,1,O49292,260
78.0,5,1,2,P82715,297
61.0,4,1,4,P11155,947
76.0,4,1,0,Q39735,953
29.0,2,0,1,P12420,229
28.0,2,0,0,P01237,226
41.0,4,1,1,P36886,131
82.0,4,1,4,P12301,232
46.0,4,1,4,P82411,116
61.0,4,1,0,P27684,142
75.0,4,1,1,B3EWI4,106
41.0,3,1,0,P43265,474
0.0,1,0,0,Q13733,1029
0.0,1,0,2,P78348,528
0.0,1,0,2,P55926,526
0.0,1,0,4,Q8VD46,475
0.0,1,0,4,L0R819,96
0.0,1,1,4,F4HRV8,596
0.0,1,0,3,Q26635,354
0.0,1,0,2,Q9ULI0,1458
0.0,1,0,3,P18434,290
0.0,1,1,0,Q9SSW1,245
0.0,1,0,0,Q8VHT6,369
0.0,1,1,1,Q949T8,497
0.0,1,0,3,P53895,289
0.0,1,1,0,Q9T003,382
0.0,1,0,0,Q6RWA9,1014
0.0,1,0,1,Q14CW9,347
0.0,1,0,3,Q9Z2A5-2,516
0.0,1,0,3,P17544,494
0.0,1,0,3,P17544-5,117
0.0,1,0,0,P40344,310
0.0,1,0,2,Q86P48,388
0.0,1,0,4,Q12675,1612
0.0,1,0,4,Q9XZS8,613
0.0,1,1,1,Q8LEM4,122
0.0,1,0,1,P32907,282
0.0,1,0,0,P35670-2,1258
0.0,1,0,1,P85970,300
0.0,1,1,2,Q9ZWJ9,664
0.0,1,0,1,G5EFF1,445
0.0,1,0,2,Q9NVP2,202
0.0,1,0,3,Q9USM8,534
0.0,1,0,4,Q523C3,491
0.0,1,0,3,P38110,2787
0.0,1,0,4,P13587,1091
0.0,1,0,4,Q12691,1091
0.0,1,0,1,Q12359,275
0.0,1,0,4,Q96SQ7,321
0.0,1,0,3,P19156,1034
0.0,1,0,0,P0C0T2,885
0.0,1,1,3,Q84W92,535
0.0,1,0,1,Q9U2X0,348
0.0,1,0,3,Q99873,371
0.0,1,0,3,Q96LA8,375
0.0,1,0,1,Q9NR22,394
0.0,1,0,3,Q9NQ90,1003
0.0,1,0,4,Q7Z6G8,1248
0.0,1,1,1,Q9ZWR8,469
0.0,1,0,0,H9TB17,1332
0.0,1,0,0,Q06278,1338
0.0,1,0,1,Q9H0R1,490
0.0,1,0,2,Q9NUS5,200
0.0,1,1,1,Q8H1U5,865
0.0,1,0,4,P23196,318
0.0,1,0,0,Q0VD83,1088
0.0,1,0,0,Q66PJ3,421
0.0,1,0,3,Q96C12,935
0.0,1,0,1,Q06408,635
0.0,1,1,3,O80931,367
0.0,1,0,1,Q99929,193
0.0,1,0,2,Q3C1E9,204
0.0,1,0,0,P40467,964
0.0,1,0,1,P34233,588
0.0,1,1,4,Q2LAE1,1759
0.0,1,0,2,Q708S6,529
0.0,1,0,4,P54074,624
0.0,1,0,2,Q925H0,512
0.0,1,1,0,Q6EPG8,364
0.0,1,1,0,Q8VWG4,366
0.0,1,0,2,Q8IZT6,3477
0.0,1,0,4,P22768,420
0.0,1,0,3,Q8SWX0,167
0.0,1,1,1,Q0WR66,793
0.0,1,0,0,O70191,283
0.0,1,1,1,Q9LX93,301
0.0,1,0,4,Q01896,1091
0.0,1,0,1,P48985,351
0.0,1,1,2,Q94BT9,76
0.0,1,0,2,Q99NG0,1466
0.0,1,0,3,P79832,723
0.0,1,0,4,Q04052,950
0.0,1,0,1,Q86WX3,136
0.0,1,0,3,Q712U5,112
0.0,1,0,2,O94630,379
0.0,1,0,2,Q9UUJ1,390
0.0,1,0,1,Q06598,404
0.0,1,0,4,Q9NR71,780
0.0,1,0,3,Q8TDY4,903
0.0,1,0,0,D3K0R6,1207
0.0,1,0,0,P23634,1241
0.0,1,0,0,H2KZB2,603
0.0,1,0,1,Q15327,319
0.0,1,0,4,Q6VUP9,442
0.0,1,0,3,Q865S1,1207
0.0,1,0,0,Q64364,169
0.0,1,0,1,Q6J5K9,1188
0.0,1,0,0,Q9GZN1,396
0.0,1,1,4,O49397,552
0.0,1,1,1,Q7G8V2,206
0.0,1,1,2,O04479,199
0.0,1,0,4,Q9H1I8,757
0.0,1,0,1,Q9V464,218
0.0,1,0,3,Q7L266,308
0.0,1,0,3,Q5A5Q6,449
0.0,1,0,4,Q9VW15,2226
0.0,1,1,0,Q8VWJ6,366
0.0,1,0,4,P00966,412
0.0,1,0,1,Q8N4T4,335
0.0,1,0,4,Q94981,503
0.0,1,0,1,Q3U108,590
0.0,1,0,4,Q18510,190
0.0,1,0,1,Q9DCB4,807
0.0,1,0,2,P47117,449
0.0,1,0,0,Q9VEC3,648
0.0,1,0,2,Q9Y7X8,721
0.0,1,0,3,Q9US07,662
0.0,1,0,4,Q05123,467
0.0,1,1,1,Q9ZWS6,186
0.0,1,0,4,Q9H765,288
0.0,1,0,2,Q8N3C0,2202
0.0,1,0,0,P13637,1013
0.0,1,0,3,Q9BDK6,355
0.0,1,0,1,P0DMR3,200
0.0,1,0,0,Q6PL18,1390
0.0,1,1,3,Q9M276,235
0.0,1,0,1,Q8C6B9,143
0.0,1,1,4,Q9M1S3,261
0.0,1,0,2,Q12406,477
0.0,1,1,2,Q940D0,690
0.0,1,0,1,Q8N9N2,400
0.0,1,0,2,Q9EPB4,193
0.0,1,0,2,O74515,262
0.0,1,1,2,A8JGB0,777
0.0,1,0,0,Q08DA1,1021
0.0,1,0,3,P14094,304
0.0,1,0,0,P18847,181
0.0,1,0,1,O94656,143
0.0,1,0,4,Q9NT62,314
0.0,1,1,2,F4K128,1064
0.0,1,0,3,J9VXM5,1421
0.0,1,0,2,Q9WU49,147
0.0,1,0,1,Q8IZ52,775
0.0,1,0,2,O59792,320
0.0,1,0,3,Q9BW66,212
0.0,1,1,3,O22267,1122
0.0,1,1,3,Q8VYK9,435
0.0,1,0,3,Q9NY25,188
0.0,1,0,1,P56747,220
0.0,1,1,4,Q9SR06,444
0.0,1,0,3,P58418,232
0.0,1,0,0,Q99788,373
0.0,1,1,0,G7IBJ4,710
0.0,1,0,0,Q9U2M1,1499
0.0,1,0,1,Q06156,1176
0.0,1,0,2,P42695,1498
0.0,1,0,3,Q0GA42,951
0.0,1,0,2,Q3TWN3,875
0.0,1,0,4,O74563,680
0.0,1,1,4,Q8GZ26,429
0.0,1,1,1,Q9LE16,315
0.0,1,0,0,Q9Z1S0,1052
0.0,1,0,4,Q9P370,124
0.0,1,0,2,Q08492,214
0.0,1,0,1,P43573,796
0.0,1,0,3,P41698,603
0.0,1,1,2,Q8H183,408
0.0,1,0,4,Q13111,956
0.0,1,0,1,Q24572,430
0.0,1,0,2,P97536,1230
0.0,1,0,1,Q10434,256
0.0,1,0,3,P17555,526
0.0,1,0,3,Q8WTX7,329
0.0,1,1,2,F4I2J8,716
0.0,1,0,4,Q8K4S7,938
0.0,1,0,0,Q8N7E2,425
0.0,1,0,3,Q54QT7,166
0.0,1,1,1,O65572,538
0.0,1,0,1,Q502W7,563
0.0,1,0,2,Q9UFE4,941
0.0,1,0,4,Q9H2F9,335
0.0,1,0,0,A6NI79,296
0.0,1,1,4,Q8RWV3,416
0.0,1,0,0,P24864,410
0.0,1,0,0,P54733,709
0.0,1,0,2,P51959,295
0.0,1,0,1,P22674,350
0.0,1,0,2,Q10357,297
0.0,1,0,3,A7E2U8,309
0.0,1,1,3,Q9FFH8,476
0.0,1,0,4,Q9USR0,404
0.0,1,0,0,Q7TS74,745
0.0,1,0,2,Q922J3,1391
0.0,1,0,3,Q9Z0H8,1047
0.0,1,0,2,Q5K131,121
0.0,1,1,3,Q9M297,1256
0.0,1,1,2,Q8GSA7,1032
0.0,1,0,3,Q9UAS6,700
0.0,1,1,1,Q75KU4,210
0.0,1,0,0,P20482,1383
0.0,1,0,4,A5YKK6,2376
0.0,1,1,2,Q9NFU6,982
0.0,1,1,2,Q94EE4,161
0.0,1,0,1,Q9JK41,187
0.0,1,1,3,Q9SQ69,321
0.0,1,0,4,Q9Y5Q5,1042
0.0,1,0,1,Q960N3,483
0.0,1,1,3,O22059,94
0.0,1,0,0,Q812E0,521
0.0,1,1,3,Q69VG1,571
0.0,1,0,1,Q8TCG1,905
0.0,1,0,4,Q9H5F2,150
0.0,1,0,4,Q9PT63,2065
0.0,1,1,2,P25859,309
0.0,1,1,3,Q9ZUP4,433
0.0,1,0,0,Q2HXU8,276
0.0,1,0,1,O95484,217
0.0,1,0,3,Q12309,687
0.0,1,0,1,Q18593,329
0.0,1,0,3,O55156,1046
0.0,1,0,4,O35493,481
0.0,1,1,4,Q9LNC5,987
0.0,1,0,0,Q8IRB5,1465
0.0,1,0,2,Q9HAW4,1339
0.0,1,1,2,Q9FY74,1007
0.0,1,1,2,Q6NPP4,1050
0.0,1,0,3,Q8N1G2,835
0.0,1,1,0,G7JND3,620
0.0,1,1,1,Q9LTB8,213
0.0,1,0,0,Q9NZN8,540
0.0,1,0,0,O02039,533
0.0,1,0,2,P33313,385
0.0,1,0,1,Q9H4W6,596
0.0,1,0,3,O59702,405
0.0,1,0,3,Q9Y471,501
0.0,1,0,0,Q96DG6,245
0.0,1,0,1,Q9D5U8,673
0.0,1,1,1,Q9LUR0,683
0.0,1,0,2,Q6IBW4,605
0.0,1,0,2,Q96KP4,475
0.0,1,0,3,P53865,581
0.0,1,0,2,Q6P4Q7,775
0.0,1,0,1,Q8N137,903
0.0,1,0,0,Q09003,536
0.0,1,0,2,A8K830,154
0.0,1,0,3,Q810Y4,532
0.0,1,0,2,Q9UUF7,940
0.0,1,0,3,Q9NXG0,1405
0.0,1,0,2,O55029,905
0.0,1,0,4,Q9QXK3,871
0.0,1,0,1,Q8K211,196
0.0,1,1,2,Q60EN8,151
0.0,1,1,3,Q9SQ70,321
0.0,1,1,3,Q9SQ67,321
0.0,1,0,0,Q21624,607
0.0,1,0,3,O14056,112
0.0,1,1,1,A8I4E9,576
0.0,1,0,1,O43303,1012
0.0,1,0,3,Q60952,2414
0.0,1,1,4,Q00IB6,440
0.0,1,1,0,Q9LV85,564
0.0,1,0,4,P41000,583
0.0,1,0,4,Q9W799,783
0.0,1,0,1,Q9VPT8,296
0.0,1,1,1,Q8W4D0,631
0.0,1,0,2,Q96EP1,664
0.0,1,0,0,Q9U1Y5,476
0.0,1,0,0,P38779,376
0.0,1,0,1,Q9U1H0,1832
0.0,1,0,2,Q9UTN3,684
0.0,1,0,3,P97769,203
0.0,1,0,0,Q96M02,699
0.0,1,0,0,Q22197,184
0.0,1,0,0,Q8IYA6,745
0.0,1,0,2,Q6UVW9,174
0.0,1,0,1,P09496,248
0.0,1,0,4,Q9WUB6,687
0.0,1,0,1,P35523,988
0.0,1,0,2,O75508,207
0.0,1,0,3,P56749,244
0.0,1,1,0,P93831,902
0.0,1,0,2,P11442,1675
0.0,1,0,1,O15247,247
0.0,1,0,3,B0K012,323
0.0,1,0,0,Q07897,291
0.0,1,1,1,Q9FYG2,1016
0.0,1,1,1,O81445,213
0.0,1,0,1,Q9R1N9,751
0.0,1,0,4,Q86X83,199
0.0,1,1,2,Q949P2,701
0.0,1,0,1,Q8WNR0,189
0.0,1,0,4,Q8MUF9,649
0.0,1,0,2,P63041,134
0.0,1,0,2,P84086,134
0.0,1,0,2,Q32M00,123
0.0,1,0,0,P14755,319
0.0,1,0,1,Q9QXT8,256
0.0,1,0,2,Q9BUX1,222
0.0,1,0,2,Q5FWP4,625
0.0,1,0,3,Q96CF2,233
0.0,1,0,1,Q9CY57,249
0.0,1,1,2,O22920,831
0.0,1,1,3,Q9SKA9,832
0.0,1,0,4,Q09868,576
0.0,1,0,0,Q86AV6,512
0.0,1,0,2,Q9H0W9,315
0.0,1,0,4,Q9W701,689
0.0,1,0,1,O14493,209
0.0,1,0,4,Q9BMK9,1001
0.0,1,0,4,P22518,483
0.0,1,0,4,Q92989,425
0.0,1,0,3,O13881,537
0.0,1,0,1,A1ZAB5,1448
0.0,1,0,3,Q03690,1277
0.0,1,0,4,Q61419,577
0.0,1,0,0,P97468,371
0.0,1,1,2,O23463,923
0.0,1,0,0,Q8JIL9,244
0.0,1,0,1,Q8N3K9,4069
0.0,1,1,0,A0A072VMJ3,703
0.0,1,0,0,Q86XI2,1143
0.0,1,1,0,Q8L7Z0,720
0.0,1,1,0,Q7XB08,351
0.0,1,0,4,Q6ZQ08,2375
0.0,1,0,2,Q8K0V4,751
0.0,1,0,3,Q7Z7A1,2325
0.0,1,1,3,Q9SQ68,321
0.0,1,0,4,Q9QYP6,405
0.0,1,0,2,O35484,448
0.0,1,0,1,Q9BPU9,175
0.0,1,0,3,Q8VHV1,145
0.0,1,0,0,Q14032,418
0.0,1,0,3,Q8VBU8,548
0.0,1,0,1,P47176,376
0.0,1,0,4,E9Q6J5,3032
0.0,1,0,0,O74350,299
0.0,1,0,1,Q9Y7N0,578
0.0,1,0,2,P35817,686
0.0,1,0,0,A6H8Y1,2624
0.0,1,1,4,Q9M367,517
0.0,1,0,1,Q95Y80,853
0.0,1,0,4,Q6PDU5,130
0.0,1,0,2,Q3TZW7,114
0.0,1,1,3,P42744,540
0.0,1,0,3,Q9BZR8,327
0.0,1,0,1,Q9R1S0,204
0.0,1,0,2,Q9W0K4,1067
0.0,1,0,4,Q9VQF7,152
0.0,1,0,4,Q8WZ19,329
0.0,1,0,4,Q9H3F6,313
0.0,1,1,0,Q84LK3,503
0.0,1,0,2,Q61337,204
0.0,1,1,0,Q9SRX9,335
0.0,1,1,0,P25853,498
0.0,1,0,2,Q05659,627
0.0,1,0,1,Q9NR55,127
0.0,1,0,0,P41182,706
0.0,1,0,1,Q67FY2,1494
0.0,1,0,4,Q8NFC6,3051
0.0,1,0,2,Q9CWT2,118
0.0,1,1,3,Q8GVD0,551
0.0,1,1,1,Q9C682,226
0.0,1,1,3,Q9M280,116
0.0,1,0,3,Q99MQ1,977
0.0,1,0,2,O14161,293
0.0,1,0,3,Q17336,897
0.0,1,0,4,O44518,1262
0.0,1,0,1,Q15438,398
0.0,1,0,2,Q9UI36,758
0.0,1,0,4,O44997,1425
0.0,1,0,0,Q9YGW7,229
0.0,1,0,1,Q76CY5,286
0.0,1,0,3,Q7ZZH7,661
0.0,1,0,3,Q283Q6,784
0.0,1,0,2,Q62871,638
0.0,1,0,3,Q6AY43,351
0.0,1,0,3,Q13536,156
0.0,1,0,1,Q8WXC6-1,252
0.0,1,0,0,Q9TZP5,263
0.0,1,0,2,G5ECW5,139
0.0,1,1,4,O23413,190
0.0,1,1,3,Q8L9B5,182
0.0,1,1,3,Q9FFT2,194
0.0,1,0,3,P67966,192
0.0,1,0,3,P50461,194
0.0,1,0,0,P50461-2,58
0.0,1,0,2,Q8BIQ5,580
0.0,1,0,4,P0CG13,121
0.0,1,0,2,Q09143,622
0.0,1,0,2,P52569,658
0.0,1,0,1,Q08412,411
0.0,1,0,0,O74942,610
0.0,1,0,3,Q09HN1,154
0.0,1,0,2,P06106,444
0.0,1,0,3,Q65YR8,94
0.0,1,0,0,Q9Y4D1,1078
0.0,1,1,1,Q9SYD8,210
0.0,1,0,1,Q9VZN4,751
0.0,1,0,0,Q7K4Y6,631
0.0,1,0,0,Q9UER7-4,688
0.0,1,0,1,Q64368,298
0.0,1,0,2,A1Z7A8-2,488
0.0,1,0,1,P38432,576
0.0,1,0,0,Q9ERR2,224
0.0,1,0,3,G4N5Q2,402
0.0,1,1,3,Q39057,373
0.0,1,1,4,Q9LJD7,182
0.0,1,0,1,Q9NQ92,184
0.0,1,0,1,Q7TSH4,1004
0.0,1,0,3,A1Z7Z9,1134
0.0,1,0,0,Q9BRF8,314
0.0,1,0,0,P16220,341
0.0,1,0,2,Q09EF7,1955
0.0,1,0,3,Q5TZA2,2017
0.0,1,0,1,P97784,606
0.0,1,0,2,Q8CH19,720
0.0,1,1,2,O80507,283
0.0,1,0,3,Q04659,317
0.0,1,0,0,Q80TQ2,952
0.0,1,0,2,Q2KN98,1118
0.0,1,1,2,Q09JZ4,432
0.0,1,1,0,F5A894,710
0.0,1,0,3,Q8R368,420
0.0,1,0,0,Q8INF7,845
0.0,1,0,0,P98081,2224
0.0,1,0,4,Q98SJ2,360
0.0,1,0,1,Q05924,578
0.0,1,0,3,Q5T197,706
0.0,1,0,2,Q8IY21,1712
0.0,1,0,3,Q9ULE3,1009
0.0,1,0,1,Q9H6A0,471
0.0,1,0,2,Q9P7M1,491
0.0,1,0,0,P53854,179
0.0,1,0,3,Q9P0U4,656
0.0,1,1,2,Q8GXV2,154
0.0,1,0,3,P14605,1692
0.0,1,0,1,Q9UIA0,394
0.0,1,0,1,Q9QXA1,311
0.0,1,1,0,Q6Q151,506
0.0,1,1,1,Q9LY75,570
0.0,1,0,2,A0A125S9M6,498
0.0,1,0,3,Q6QZN6,821
0.0,1,0,1,Q9VBW9,419
0.0,1,0,1,Q5SU73,570
0.0,1,0,3,O74986,294
0.0,1,1,3,B9VRJ2,321
0.0,1,0,0,Q9BR76,489
0.0,1,0,1,O16844,1201
0.0,1,0,3,U3JAG9,1113
0.0,1,0,3,Q9UPN4,1083
0.0,1,1,1,Q38900,173
0.0,1,1,4,Q9FDX6,160
0.0,1,1,1,O04147,181
0.0,1,0,2,Q0VD32,120
0.0,1,0,0,Q01981,416
0.0,1,0,0,Q01147,341
0.0,1,1,0,Q8GY82,351
0.0,1,0,0,P38877,133
0.0,1,0,2,Q5U3Z0,290
0.0,1,0,0,Q13620,913
0.0,1,1,2,Q2RBP2,1131
0.0,1,1,2,Q9FG74,498
0.0,1,0,3,Q99MU0,676
0.0,1,0,3,Q9UBU7,674
0.0,1,0,1,P33750,489
0.0,1,0,0,O08788,1281
0.0,1,0,3,Q7TNV0,380
0.0,1,0,0,G5EFF5,753
0.0,1,0,0,Q09719,848
0.0,1,0,1,Q12389,995
0.0,1,1,1,C5H429,387
0.0,1,0,3,Q8K0T2,351
0.0,1,0,2,Q3TUL7,519
0.0,1,0,3,Q99KJ8,402
0.0,1,0,1,Q9QUR2,467
0.0,1,0,0,Q9BTE1,182
0.0,1,0,3,Q550F6,308
0.0,1,0,3,Q13535,2644
0.0,1,0,0,P54254,791
0.0,1,0,2,Q156A1,80
0.0,1,1,0,Q9FMB4,796
0.0,1,1,0,Q9C9M6,196
0.0,1,0,2,Q708S7,501
0.0,1,0,1,Q708S8,557
0.0,1,0,1,P53983,676
0.0,1,0,2,Q1XA76,527
0.0,1,0,2,Q9R0W5,495
0.0,1,1,3,Q9SYG2,383
0.0,1,0,0,P48361,1146
0.0,1,1,0,Q8VZ20,314
0.0,1,0,4,O94354,410
0.0,1,0,0,Q9V727,1669
0.0,1,0,1,Q8WXE1,791
0.0,1,0,3,Q9DE14,2654
0.0,1,0,3,Q9ER24,475
0.0,1,0,0,O76922,866
0.0,1,0,2,P97477,395
0.0,1,1,2,Q0WQ57,891
0.0,1,0,3,P04919,929
0.0,1,0,2,P15308,273
0.0,1,0,3,Q8WXS3,180
0.0,1,0,1,Q6NTS2,90
0.0,1,1,4,Q94CE4,280
0.0,1,0,0,P38772,366
0.0,1,1,0,F4HZB2,3601
0.0,1,0,3,P39714,382
0.0,1,0,1,Q9BUT1,245
0.0,1,0,1,P38360,1216
0.0,1,0,0,O70305,1285
0.0,1,0,1,P54252,361
0.0,1,1,2,Q8GYM3,423
0.0,1,0,0,Q12500,764
0.0,1,1,0,Q9SSW2,273
0.0,1,0,2,P50080,613
0.0,1,0,1,Q9Z1R2,1154
0.0,1,0,2,Q8TBE0,780
0.0,1,0,3,Q8N9N5,519
0.0,1,0,2,P47068,1157
0.0,1,0,3,Q8K2G4,715
0.0,1,1,1,Q9LQZ7,331
0.0,1,0,1,Q9DDT2,800
0.0,1,0,1,Q9EQ32,811
0.0,1,0,0,P41183,707
0.0,1,0,1,Q86UU0,1499
0.0,1,0,3,Q9NYF8,920
0.0,1,0,3,S0EGU4,1301
0.0,1,0,0,Q06631,534
0.0,1,1,2,Q9LS08,344
0.0,1,1,3,Q69V10,265
0.0,1,0,2,Q7RTU4,235
0.0,1,0,3,Q5TH69,2177
0.0,1,1,3,O48814,395
0.0,1,0,3,Q9UBB4,475
0.0,1,0,0,Q8SWR8,1084
0.0,1,1,0,F4K1J4,1423
0.0,1,1,4,Q0WTP1,329
0.0,1,0,1,Q9UPM9,204
0.0,1,0,1,Q9W0K7,977
0.0,1,0,1,Q66KV4,90
0.0,1,0,2,Q9UIG0,1483
0.0,1,1,1,Q9LE06,354
0.0,1,0,3,Q09242,146
0.0,1,1,1,Q38897,611
0.0,1,1,0,O22133,364
0.0,1,0,3,Q6PFX2,281
0.0,1,0,2,Q9P6J6,832
0.0,1,0,2,Q5U5M8,195
0.0,1,1,2,F4IH25,753
0.0,1,0,2,O14965,403
0.0,1,0,3,O70239,827
0.0,1,1,0,Q9SSW0,193
0.0,1,0,0,Q91YE5,1889
0.0,1,1,3,Q09LL3,331
0.0,1,0,0,A0JMY4,531
0.0,1,0,1,Q12365,385
0.0,1,0,2,Q9CZQ9,341
0.0,1,1,3,Q9SJU5,172
0.0,1,1,0,Q96288,248
0.0,1,0,3,Q9CWI3,316
0.0,1,0,1,Q5H9F3,1711
0.0,1,0,2,Q6W2J9,1755
0.0,1,1,1,Q8GY61,335
0.0,1,1,2,Q9M9L6,211
0.0,1,1,3,Q9LXJ1,140
0.0,1,0,2,P32447,279
0.0,1,0,2,Q9NY37,505
0.0,1,1,2,A8IXB8,362
0.0,1,0,0,Q04489,525
0.0,1,0,2,Q52EB3,982
0.0,1,0,1,Q9H1Y0,275
0.0,1,0,3,O43313,823
0.0,1,0,3,Q9VVN4,846
0.0,1,0,3,Q9JKK8,2635
0.0,1,1,3,F4IK01,299
0.0,1,1,4,Q96247,485
0.0,1,0,4,Q22258,2531
0.0,1,1,3,Q9FNE9,349
0.0,1,1,4,Q0WQE7,617
0.0,1,1,0,Q94BP7,741
0.0,1,0,0,Q8WXX7,1259
0.0,1,0,0,O13943,469
0.0,1,0,4,Q9H6S1,392
0.0,1,0,4,P38084,609
0.0,1,1,4,F4I443,714
0.0,1,0,3,Q07812,192
0.0,1,0,1,Q12186,476
0.0,1,1,4,P42737-2,259
0.0,1,0,0,O75363,584
0.0,1,0,1,Q8SY41,1122
0.0,1,0,3,Q9D219,1425
0.0,1,0,4,Q5T5X7,828
0.0,1,0,4,Q9BXY8,128
0.0,1,0,4,Q5H9J7,111
0.0,1,1,1,Q10R09,310
0.0,1,0,3,Q9UHR4,511
0.0,1,1,1,O23393,435
0.0,1,0,0,O00327,626
0.0,1,0,1,Q5VTR2,975
0.0,1,0,3,P34537,837
0.0,1,0,1,P53062,197
0.0,1,0,1,Q03565,89
0.0,1,1,1,Q8GUC3,350
0.0,1,1,3,Q9SYM2,299
0.0,1,1,0,Q9SID1,238
0.0,1,0,0,Q8CCN5,928
0.0,1,0,2,Q8CGN4,1759
0.0,1,0,3,Q9P6P5,183
0.0,1,0,4,O18017,988
0.0,1,0,1,P54833,415
0.0,1,0,1,Q8K4Z4,418
0.0,1,0,1,Q05955,493
0.0,1,0,2,P63002,197
0.0,1,0,2,G5EEN8,234
0.0,1,0,2,P55197,1068
0.0,1,0,3,A2AM29,569
0.0,1,0,1,P50161,262
0.0,1,0,3,Q6ULP2,936
0.0,1,0,0,O94510,433
0.0,1,1,4,Q8VYJ2,356
0.0,1,1,0,Q9FHM5,419
0.0,1,0,1,O13728,621
